,Fecha,Hora,AE_kWh
675,29/07/2020,4,0.222
676,29/07/2020,5,0.201
677,29/07/2020,6,0.204
678,29/07/2020,7,0.205
679,29/07/2020,8,0.342
680,29/07/2020,9,0.238
681,29/07/2020,10,0.192
682,29/07/2020,11,0.195
683,29/07/2020,12,0.198
684,29/07/2020,13,0.193
685,29/07/2020,14,0.192
686,29/07/2020,15,0.198
687,29/07/2020,16,0.223
688,29/07/2020,17,0.328
689,29/07/2020,18,0.312
690,29/07/2020,19,0.29
691,29/07/2020,20,0.259
692,29/07/2020,21,0.271
693,29/07/2020,22,0.28
694,29/07/2020,23,0.33
695,29/07/2020,24,0.284
696,30/07/2020,1,0.234
697,30/07/2020,2,0.212
698,30/07/2020,3,0.207
699,30/07/2020,4,0.213
700,30/07/2020,5,0.205
701,30/07/2020,6,0.209
702,30/07/2020,7,0.202
703,30/07/2020,8,0.272
704,30/07/2020,9,0.198
705,30/07/2020,10,0.192
706,30/07/2020,11,0.198
707,30/07/2020,12,0.954
708,30/07/2020,13,0.402
709,30/07/2020,14,0.306
710,30/07/2020,15,0.255
711,30/07/2020,16,0.272
712,30/07/2020,17,0.288
713,30/07/2020,18,0.29
714,30/07/2020,19,0.296
715,30/07/2020,20,0.242
716,30/07/2020,21,0.28
717,30/07/2020,22,0.276
718,30/07/2020,23,0.259
719,30/07/2020,24,0.262
720,31/07/2020,1,0.215
721,31/07/2020,2,0.201
722,31/07/2020,3,0.203
723,31/07/2020,4,0.205
724,31/07/2020,5,0.199
725,31/07/2020,6,0.198
726,31/07/2020,7,0.3
727,31/07/2020,8,0.225
728,31/07/2020,9,0.19
729,31/07/2020,10,0.189
730,31/07/2020,11,0.19
731,31/07/2020,12,0.189
732,31/07/2020,13,0.191
733,31/07/2020,14,0.192
734,31/07/2020,15,0.192
735,31/07/2020,16,0.189
736,31/07/2020,17,0.242
737,31/07/2020,18,0.196
738,31/07/2020,19,0.192
739,31/07/2020,20,0.195
740,31/07/2020,21,0.193
741,31/07/2020,22,0.272
742,31/07/2020,23,0.316
743,31/07/2020,24,0.292
744,01/08/2020,1,0.247
745,01/08/2020,2,0.21
746,01/08/2020,3,0.199
747,01/08/2020,4,0.198
748,01/08/2020,5,0.197
749,01/08/2020,6,0.201
750,01/08/2020,7,0.2
751,01/08/2020,8,0.241
752,01/08/2020,9,0.211
753,01/08/2020,10,0.385
754,01/08/2020,11,0.208
755,01/08/2020,12,0.233
756,01/08/2020,13,0.463
757,01/08/2020,14,0.952
758,01/08/2020,15,0.39
759,01/08/2020,16,0.297
760,01/08/2020,17,0.305
761,01/08/2020,18,0.333
762,01/08/2020,19,0.251
763,01/08/2020,20,0.21
764,01/08/2020,21,0.203
765,01/08/2020,22,0.197
766,01/08/2020,23,0.206
767,01/08/2020,24,0.256
768,02/08/2020,1,0.247
769,02/08/2020,2,0.216
770,02/08/2020,3,0.205
771,02/08/2020,4,0.216
772,02/08/2020,5,0.202
773,02/08/2020,6,0.202
774,02/08/2020,7,0.208
775,02/08/2020,8,0.23
776,02/08/2020,9,0.269
777,02/08/2020,10,0.202
778,02/08/2020,11,0.204
779,02/08/2020,12,0.411
780,02/08/2020,13,0.351
781,02/08/2020,14,0.32
782,02/08/2020,15,0.915
783,02/08/2020,16,0.915
784,02/08/2020,17,0.369
785,02/08/2020,18,0.392
786,02/08/2020,19,0.317
787,02/08/2020,20,0.197
788,02/08/2020,21,0.205
789,02/08/2020,22,0.203
790,02/08/2020,23,0.263
791,02/08/2020,24,0.272
792,03/08/2020,1,0.208
793,03/08/2020,2,0.196
794,03/08/2020,3,0.205
795,03/08/2020,4,0.195
796,03/08/2020,5,0.203
797,03/08/2020,6,0.194
798,03/08/2020,7,0.22
799,03/08/2020,8,0.323
800,03/08/2020,9,0.189
801,03/08/2020,10,0.196
802,03/08/2020,11,0.184
803,03/08/2020,12,0.257
804,03/08/2020,13,0.226
805,03/08/2020,14,0.194
806,03/08/2020,15,0.196
807,03/08/2020,16,0.231
808,03/08/2020,17,0.317
809,03/08/2020,18,0.288
810,03/08/2020,19,0.23
811,03/08/2020,20,0.19
812,03/08/2020,21,0.212
813,03/08/2020,22,0.252
814,03/08/2020,23,0.27
815,03/08/2020,24,0.216
816,04/08/2020,1,0.206
817,04/08/2020,2,0.202
818,04/08/2020,3,0.251
819,04/08/2020,4,0.22
820,04/08/2020,5,0.2
821,04/08/2020,6,0.2
822,04/08/2020,7,0.203
823,04/08/2020,8,0.328
824,04/08/2020,9,0.188
825,04/08/2020,10,0.195
826,04/08/2020,11,0.187
827,04/08/2020,12,0.186
828,04/08/2020,13,0.189
829,04/08/2020,14,0.191
830,04/08/2020,15,0.186
831,04/08/2020,16,0.257
832,04/08/2020,17,0.289
833,04/08/2020,18,0.215
834,04/08/2020,19,0.278
835,04/08/2020,20,0.189
836,04/08/2020,21,0.248
837,04/08/2020,22,0.494
838,04/08/2020,23,0.272
839,04/08/2020,24,0.232
840,05/08/2020,1,0.211
841,05/08/2020,2,0.205
842,05/08/2020,3,0.199
843,05/08/2020,4,0.199
844,05/08/2020,5,0.203
845,05/08/2020,6,0.198
846,05/08/2020,7,0.196
847,05/08/2020,8,0.333
848,05/08/2020,9,0.189
849,05/08/2020,10,0.186
850,05/08/2020,11,0.186
851,05/08/2020,12,0.189
852,05/08/2020,13,0.192
853,05/08/2020,14,0.186
854,05/08/2020,15,0.186
855,05/08/2020,16,0.226
856,05/08/2020,17,0.313
857,05/08/2020,18,0.398
858,05/08/2020,19,0.358
859,05/08/2020,20,0.396
860,05/08/2020,21,0.409
861,05/08/2020,22,0.463
862,05/08/2020,23,0.322
863,05/08/2020,24,0.235
864,06/08/2020,1,0.208
