CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031607230862002QQ0F;15/07/2020;5;0,213;;;R
ES0031607230862002QQ0F;15/07/2020;6;0,261;;;R
ES0031607230862002QQ0F;15/07/2020;7;0,213;;;R
ES0031607230862002QQ0F;15/07/2020;8;0,452;;;R
ES0031607230862002QQ0F;15/07/2020;9;0,196;;;R
ES0031607230862002QQ0F;15/07/2020;10;0,151;;;R
ES0031607230862002QQ0F;15/07/2020;11;0;;;R
ES0031607230862002QQ0F;15/07/2020;12;0;;;R
ES0031607230862002QQ0F;15/07/2020;13;0;;;R
ES0031607230862002QQ0F;15/07/2020;14;0,002;;;R
ES0031607230862002QQ0F;15/07/2020;15;0;;;R
ES0031607230862002QQ0F;15/07/2020;16;0,133;;;R
ES0031607230862002QQ0F;15/07/2020;17;0,145;;;R
ES0031607230862002QQ0F;15/07/2020;18;0,185;;;R
ES0031607230862002QQ0F;15/07/2020;19;0,469;;;R
ES0031607230862002QQ0F;15/07/2020;20;0,229;;;R
ES0031607230862002QQ0F;15/07/2020;21;0,267;;;R
ES0031607230862002QQ0F;15/07/2020;22;0,328;;;R
ES0031607230862002QQ0F;15/07/2020;23;0,283;;;R
ES0031607230862002QQ0F;15/07/2020;24;0,223;;;R
ES0031607230862002QQ0F;16/07/2020;1;0,216;;;R
ES0031607230862002QQ0F;16/07/2020;2;0,212;;;R
ES0031607230862002QQ0F;16/07/2020;3;0,205;;;R
ES0031607230862002QQ0F;16/07/2020;4;0,204;;;R
ES0031607230862002QQ0F;16/07/2020;5;0,207;;;R
ES0031607230862002QQ0F;16/07/2020;6;0,204;;;R
ES0031607230862002QQ0F;16/07/2020;7;0,2;;;R
ES0031607230862002QQ0F;16/07/2020;8;0,554;;;R
ES0031607230862002QQ0F;16/07/2020;9;0,746;;;R
ES0031607230862002QQ0F;16/07/2020;10;0,223;;;R
ES0031607230862002QQ0F;16/07/2020;11;0,234;;;R
ES0031607230862002QQ0F;16/07/2020;12;0,258;;;R
ES0031607230862002QQ0F;16/07/2020;13;0,206;;;R
ES0031607230862002QQ0F;16/07/2020;14;0,2;;;R
ES0031607230862002QQ0F;16/07/2020;15;0,194;;;R
ES0031607230862002QQ0F;16/07/2020;16;0,194;;;R
ES0031607230862002QQ0F;16/07/2020;17;0,213;;;R
ES0031607230862002QQ0F;16/07/2020;18;0,199;;;R
ES0031607230862002QQ0F;16/07/2020;19;0,359;;;R
ES0031607230862002QQ0F;16/07/2020;20;0,303;;;R
ES0031607230862002QQ0F;16/07/2020;21;0,274;;;R
ES0031607230862002QQ0F;16/07/2020;22;0,269;;;R
ES0031607230862002QQ0F;16/07/2020;23;0,274;;;R
ES0031607230862002QQ0F;16/07/2020;24;0,236;;;R
ES0031607230862002QQ0F;17/07/2020;1;0,222;;;R
ES0031607230862002QQ0F;17/07/2020;2;0,205;;;R
ES0031607230862002QQ0F;17/07/2020;3;0,256;;;R
ES0031607230862002QQ0F;17/07/2020;4;0,206;;;R
ES0031607230862002QQ0F;17/07/2020;5;0,204;;;R
ES0031607230862002QQ0F;17/07/2020;6;0,201;;;R
ES0031607230862002QQ0F;17/07/2020;7;0,196;;;R
ES0031607230862002QQ0F;17/07/2020;8;0,431;;;R
ES0031607230862002QQ0F;17/07/2020;9;0,2;;;R
ES0031607230862002QQ0F;17/07/2020;10;0,189;;;R
ES0031607230862002QQ0F;17/07/2020;11;0,19;;;R
ES0031607230862002QQ0F;17/07/2020;12;0,197;;;R
ES0031607230862002QQ0F;17/07/2020;13;0,192;;;R
ES0031607230862002QQ0F;17/07/2020;14;0,189;;;R
ES0031607230862002QQ0F;17/07/2020;15;0,189;;;R
ES0031607230862002QQ0F;17/07/2020;16;0,196;;;R
ES0031607230862002QQ0F;17/07/2020;17;0,193;;;R
ES0031607230862002QQ0F;17/07/2020;18;0,368;;;R
ES0031607230862002QQ0F;17/07/2020;19;0,423;;;R
ES0031607230862002QQ0F;17/07/2020;20;0,274;;;R
ES0031607230862002QQ0F;17/07/2020;21;0,227;;;R
ES0031607230862002QQ0F;17/07/2020;22;0,208;;;R
ES0031607230862002QQ0F;17/07/2020;23;0,208;;;R
ES0031607230862002QQ0F;17/07/2020;24;0,255;;;R
ES0031607230862002QQ0F;18/07/2020;1;0,274;;;R
ES0031607230862002QQ0F;18/07/2020;2;0,26;;;R
ES0031607230862002QQ0F;18/07/2020;3;0,217;;;R
ES0031607230862002QQ0F;18/07/2020;4;0,214;;;R
ES0031607230862002QQ0F;18/07/2020;5;0,205;;;R
ES0031607230862002QQ0F;18/07/2020;6;0,208;;;R
ES0031607230862002QQ0F;18/07/2020;7;0,206;;;R
ES0031607230862002QQ0F;18/07/2020;8;0,236;;;R
ES0031607230862002QQ0F;18/07/2020;9;0,202;;;R
ES0031607230862002QQ0F;18/07/2020;10;0,461;;;R
ES0031607230862002QQ0F;18/07/2020;11;0,356;;;R
ES0031607230862002QQ0F;18/07/2020;12;0,211;;;R
ES0031607230862002QQ0F;18/07/2020;13;0,206;;;R
ES0031607230862002QQ0F;18/07/2020;14;0,193;;;R
ES0031607230862002QQ0F;18/07/2020;15;0,192;;;R
ES0031607230862002QQ0F;18/07/2020;16;0,195;;;R
ES0031607230862002QQ0F;18/07/2020;17;0,197;;;R
ES0031607230862002QQ0F;18/07/2020;18;0,196;;;R
ES0031607230862002QQ0F;18/07/2020;19;0,194;;;R
ES0031607230862002QQ0F;18/07/2020;20;0,194;;;R
ES0031607230862002QQ0F;18/07/2020;21;0,194;;;R
ES0031607230862002QQ0F;18/07/2020;22;0,196;;;R
ES0031607230862002QQ0F;18/07/2020;23;0,198;;;R
ES0031607230862002QQ0F;18/07/2020;24;0,202;;;R
ES0031607230862002QQ0F;19/07/2020;1;0,249;;;R
ES0031607230862002QQ0F;19/07/2020;2;0,232;;;R
ES0031607230862002QQ0F;19/07/2020;3;0,207;;;R
ES0031607230862002QQ0F;19/07/2020;4;0,242;;;R
ES0031607230862002QQ0F;19/07/2020;5;0,231;;;R
ES0031607230862002QQ0F;19/07/2020;6;0,209;;;R
ES0031607230862002QQ0F;19/07/2020;7;0,209;;;R
ES0031607230862002QQ0F;19/07/2020;8;0,241;;;R
ES0031607230862002QQ0F;19/07/2020;9;0,198;;;R
ES0031607230862002QQ0F;19/07/2020;10;0,206;;;R
ES0031607230862002QQ0F;19/07/2020;11;0,422;;;R
ES0031607230862002QQ0F;19/07/2020;12;0,708;;;R
